pipeline	engine	resize	images	conf	nms_iou	mAP50_95	mAP50	mAP75	detections
ultralytics_reference_yolov8s	pytorch_fp32	linear(ultralytics)	500	0.001	0.45	0.47376	0.64535	0.51373	26626
ultralytics_reference_yolov8n	pytorch_fp32	linear(ultralytics)	500	0.001	0.45	0.39274	0.55733	0.42409	30936
ultralytics_reference_yolo11n	pytorch_fp32	linear(ultralytics)	500	0.001	0.45	0.41510	0.58280	0.45115	28968
triton_yolov8s	tensorrt_fp16_b1	linear	500	0.001	0.45	0.47348	0.64524	0.51426	26619
triton_yolov8n	tensorrt_fp16_b1	linear	500	0.001	0.45	0.39212	0.55732	0.42377	30971
triton_yolo11n	tensorrt_fp16_b1	linear	500	0.001	0.45	0.41554	0.58314	0.45084	28974
triton_yolov8s_dyn	tensorrt_fp16_b8	linear	500	0.001	0.45	0.47367	0.64576	0.51228	26643
triton_yolov8n_dyn	tensorrt_fp16_b8	linear	500	0.001	0.45	0.39315	0.55745	0.42356	30976
triton_yolo11n_dyn	tensorrt_fp16_b8	linear	500	0.001	0.45	0.41465	0.58223	0.45097	28986
triton_yolov8s_nearest	tensorrt_fp16_b1	nearest	500	0.001	0.45	0.46782	0.63582	0.51150	26972
