preferred	delay_us	streams	fps	lat_p50_ms	lat_p95_ms
4, 8	1000	8	1630.88	36.485	39.189
4, 8	1000	8	1627.5	36.687	39.376
4, 8	1000	8	1623.38	36.828	39.467
4, 8	5000	8	1631.5	36.772	38.939
4, 8	5000	8	1630.0	36.733	39.119
4, 8	5000	8	1608.62	36.754	41.43
4, 8	20000	8	1563.0	36.911	43.613
4, 8	20000	8	1605.0	35.967	44.963
4, 8	20000	8	1600.12	36.846	42.243
8	5000	8	1613.5	37.094	39.459
8	5000	8	1594.25	37.012	41.713
8	5000	8	1605.12	37.088	40.588
2, 4	5000	8	1587.62	37.509	41.555
2, 4	5000	8	1587.62	37.564	41.487
2, 4	5000	8	1586.0	37.603	41.508
4, 8	1000	1	845.5	7.165	9.407
4, 8	1000	1	847.62	7.11	8.385
4, 8	5000	1	1029.88	6.28	7.433
4, 8	5000	1	1020.88	6.331	7.486
4, 8	20000	1	1022.88	6.282	7.457
4, 8	20000	1	1027.75	6.301	7.44
8	5000	1	1083.12	6.778	7.124
8	5000	1	1088.62	6.754	7.043
2, 4	5000	1	865.25	6.977	7.933
2, 4	5000	1	870.5	6.936	7.836
