model	mode	repeat	throughput_qps	latency_median_ms
yolov8n	plain	1	1495.96	0.96698
yolov8n	plain	2	1494.16	0.967773
yolov8n	plain	3	1491.78	0.96875
yolov8n	graph	1	1840.77	0.839355
yolov8n	graph	2	1840.71	0.839355
yolov8n	graph	3	1840.77	0.839355
yolov8s	plain	1	1014.82	1.2832
yolov8s	plain	2	1014.62	1.2832
yolov8s	plain	3	1014.34	1.28369
yolov8s	graph	1	1167.07	1.15332
yolov8s	graph	2	1165.53	1.15405
yolov8s	graph	3	1164.71	1.15479
yolo11n	plain	1	1253	1.09888
yolo11n	plain	2	1253.24	1.09875
yolo11n	plain	3	1253.04	1.09888
yolo11n	graph	1	1591.98	0.925842
yolo11n	graph	2	1592.22	0.925781
yolo11n	graph	3	1591.61	0.926025
