flow	graph	repeat	streams	fps	lat_p50_ms	lat_p95_ms	lat_p99_ms	infer_ms	h2d_ms	nms_ms	frames	dets	dets_per_frame	graph_active
A2	off	1	1	797.5	1.2479	1.2765	1.3265	0.9857	0.2534	0.0147	7975	12740	1.5975	false
A2	on	1	1	892.1	1.1166	1.1357	1.1538	0.8529	0.2533	0.0146	8921	14249	1.5972	true
A2	off	2	1	799.7	1.2468	1.2654	1.2809	0.9825	0.2531	0.0147	7997	12780	1.5981	false
A2	on	2	1	897.3	1.1103	1.1303	1.1463	0.8468	0.2530	0.0145	8973	14327	1.5967	true
A2	off	3	1	800.6	1.2450	1.2633	1.2781	0.9787	0.2555	0.0147	8006	12795	1.5982	false
A2	on	3	1	894.8	1.1135	1.1330	1.1507	0.8500	0.2528	0.0145	8948	14295	1.5976	true
A2	off	4	1	797.8	1.2490	1.2692	1.2851	0.9824	0.2562	0.0147	7978	12742	1.5971	false
A2	on	4	1	892.4	1.1168	1.1361	1.1532	0.8507	0.2553	0.0144	8924	14253	1.5972	true
A2	off	5	1	799.9	1.2458	1.2657	1.2830	0.9824	0.2530	0.0147	7999	12784	1.5982	false
A2	on	5	1	892.3	1.1164	1.1359	1.1534	0.8536	0.2525	0.0145	8923	14252	1.5972	true
A2	off	1	2	1078.8	1.8410	2.0912	2.1391	1.4891	0.2703	0.0943	10788	17200	1.5944	false
A2	on	1	2	1256.5	1.5876	1.6419	1.6670	1.3227	0.2561	0.0128	12565	20068	1.5971	true
A2	off	2	2	1191.6	1.6284	1.8913	2.0898	1.3887	0.2588	0.0308	11916	19051	1.5988	false
A2	on	2	2	1252.0	1.5947	1.6485	1.6733	1.3269	0.2566	0.0138	12520	20012	1.5984	true
A2	off	3	2	1092.5	1.8416	2.0961	2.1193	1.4782	0.2669	0.0854	10925	17424	1.5949	false
A2	on	3	2	1242.9	1.6054	1.6587	1.6838	1.3400	0.2546	0.0143	12429	19871	1.5988	true
A2	off	1	4	1168.2	3.4234	3.8709	3.9830	2.7946	0.3762	0.2536	11682	18752	1.6052	false
A2	on	1	4	1248.4	3.2059	3.4346	3.7237	2.3752	0.3565	0.4723	12484	19952	1.5982	true
A2	off	2	4	1164.2	3.4327	3.8859	3.9770	2.8001	0.3836	0.2521	11642	18694	1.6057	false
A2	on	2	4	1249.6	3.2035	3.4425	3.7058	2.3810	0.3513	0.4689	12496	19976	1.5986	true
A2	off	3	4	1168.4	3.4217	3.8674	3.9562	2.7955	0.3786	0.2499	11684	18756	1.6053	false
A2	on	3	4	1248.7	3.2040	3.4413	3.7014	2.3681	0.3558	0.4796	12487	19958	1.5983	true
