timestamp,gpu_util_pct,mem_used_mib,mem_total_mib
1788992077,0,1165,24576
1788992077,0,1165,24576
1788992078,0,1165,24576
1788992078,0,1165,24576
1788992079,0,1165,24576
1788992079,0,1165,24576
1788992080,0,1165,24576
1788992080,0,1743,24576
1788992081,0,1743,24576
1788992081,0,1743,24576
1788992082,0,1758,24576
1788992082,2,1780,24576
1788992083,9,1801,24576
1788992083,7,1827,24576
1788992084,14,1841,24576
1788992084,18,1841,24576
1788992085,18,1841,24576
1788992085,19,1841,24576
1788992086,16,1165,24576
