flow	instances	concurrency	fps	lat_p50_ms	mean_batch
B2	1	1	629.4	1.325	1.00
D	1	1	1036.1	6.287	4.00
B2	1	4	808.5	4.294	1.00
D	1	4	1314.2	20.189	5.41
B2	1	16	817.1	19.980	1.00
D	1	16	1509.6	82.661	7.91
B2	2	1	635.9	1.309	1.00
D	2	1	1044.4	6.196	4.00
B2	2	4	1085.8	3.969	1.00
D	2	4	1356.1	19.414	4.00
B2	2	16	1114.5	13.545	1.00
D	2	16	1566.4	74.140	6.27
B2	4	1	653.8	1.272	1.00
D	4	1	1039.5	6.190	4.00
B2	4	4	1083.6	3.770	1.00
D	4	4	1363.6	19.109	4.00
B2	4	16	1192.0	13.324	1.00
D	4	16	1634.9	73.910	6.13
