model	out_format	qps	gpu_ms	h2d_ms	d2h_ms	transport_pct
resnet50	fp32	2286.3	0.4355	0.0264	0.0036	6.44
resnet50	fp16	2287.0	0.4353	0.0263	0.0033	6.38
segformer_b0	fp32	850.5	1.1734	0.1293	0.0549	13.56
segformer_b0	fp16	841.6	1.1859	0.1288	0.0291	11.75
yolov8s	fp32	1014.1	0.9839	0.1897	0.1107	23.39
yolov8s	fp16	1010.5	0.9836	0.1893	0.0587	20.13
yolo11n	fp32	1241.2	0.8036	0.1904	0.1128	27.39
yolo11n	fp16	1243.2	0.8023	0.1899	0.0585	23.65
yolo11n-seg	fp32	1064.8	0.9371	0.1901	0.2748	33.16
yolo11n-seg	fp16	1070.3	0.9317	0.1902	0.1400	26.17
unet_r34	fp32	548.8	1.8192	0.1898	1.1575	42.55
unet_r34	fp16	554.9	1.7992	0.1886	0.5821	29.99
deeplabv3_mnv3	fp32	749.4	1.1196	0.2053	1.3051	57.43
deeplabv3_mnv3	fp16	880.5	1.1334	0.1884	0.6445	42.36
