model	repeat	fps	lat_p50_ms	lat_p95_ms	lat_p99_ms	infer_ms	h2d_ms	nms_ms	non_engine_ms	non_engine_pct	frames	dets	dets_per_frame
yolo11n	1	924.7	1.0753	1.0940	1.1733	0.8151	0.2536	0.0124	0.2602	24.20	9247	11559	1.2500
yolo11s	1	730.3	1.3609	1.3823	1.4007	1.1092	0.2561	0.0038	0.2516	18.49	7303	1982	0.2714
yolo11m	1	465.7	2.1370	2.1684	2.2047	1.8789	0.2575	0.0109	0.2582	12.08	4657	3177	0.6822
yolo11l	1	360.7	2.7570	2.7851	2.8136	2.5094	0.2573	0.0055	0.2476	8.98	3607	1231	0.3413
yolo11x	1	241.0	4.1300	4.1677	4.1962	3.8843	0.2577	0.0073	0.2457	5.95	2410	1080	0.4481
yolov8s	1	794.4	1.2540	1.2714	1.2931	0.9874	0.2564	0.0147	0.2666	21.26	7944	12682	1.5964
yolo11n	2	922.2	1.0786	1.0954	1.1155	0.8148	0.2568	0.0125	0.2638	24.46	9222	11522	1.2494
yolo11s	2	734.2	1.3541	1.3763	1.3949	1.1030	0.2549	0.0038	0.2511	18.54	7342	1993	0.2715
yolo11m	2	461.0	2.1583	2.1827	2.2070	1.9026	0.2559	0.0107	0.2557	11.85	4610	3130	0.6790
yolo11l	2	357.8	2.7836	2.8078	2.8236	2.5350	0.2548	0.0054	0.2487	8.93	3578	1212	0.3387
yolo11x	2	239.3	4.1639	4.1924	4.2229	3.9151	0.2574	0.0070	0.2488	5.98	2393	1071	0.4476
yolov8s	2	792.3	1.2567	1.2834	1.3194	0.9912	0.2564	0.0144	0.2654	21.12	7923	12640	1.5954
yolo11n	3	923.0	1.0784	1.0973	1.1122	0.8174	0.2537	0.0122	0.2610	24.21	9230	11534	1.2496
yolo11s	3	731.0	1.3600	1.3831	1.4002	1.1079	0.2563	0.0037	0.2521	18.54	7310	1982	0.2711
yolo11m	3	458.5	2.1733	2.1938	2.2107	1.9138	0.2566	0.0106	0.2595	11.94	4585	3121	0.6807
yolo11l	3	354.9	2.8049	2.8329	2.8557	2.5554	0.2570	0.0053	0.2496	8.90	3549	1207	0.3401
yolo11x	3	237.5	4.1951	4.2320	4.2667	3.9463	0.2579	0.0070	0.2489	5.93	2375	1052	0.4429
yolov8s	3	787.9	1.2652	1.2843	1.3001	0.9982	0.2563	0.0144	0.2669	21.10	7879	12565	1.5947
