model	input	output	in_bytes	out_bytes	qps	gpu_ms	h2d_ms	d2h_ms	non_engine_ms	transport_pct
resnet50	1x3x224x224	1x1000	602112	4000	2275.1	0.4376	0.0264	0.0037	0.0301	6.43
efficientnet_b0	1x3x224x224	1x1000	602112	4000	1838.9	0.5418	0.0264	0.0035	0.0299	5.22
efficientnet_v2_s	1x3x384x384	1x1000	1769472	4000	728.9	1.3695	0.0708	0.0037	0.0745	5.16
yolo11s	1x3x640x640	1x84x8400	4915200	2822400	919.9	1.0848	0.1892	0.1132	0.3023	21.80
yolo11m	1x3x640x640	1x84x8400	4915200	2822400	523.1	1.9085	0.1893	0.1109	0.3002	13.59
yolo11l	1x3x640x640	1x84x8400	4915200	2822400	392.3	2.5452	0.1895	0.1112	0.3007	10.57
yolo11x	1x3x640x640	1x84x8400	4915200	2822400	252.8	3.9481	0.1889	0.1113	0.3002	7.07
yolov8s	1x3x640x640	1x84x8400	4915200	2822400	1011.2	0.9867	0.1897	0.1108	0.3005	23.34
rtdetr-l	1x3x640x640	1x300x6	4915200	7200	328.2	3.0416	0.1893	0.0046	0.1940	5.99
yolov8s-worldv2	1x3x640x640	1x84x8400	4915200	2822400	869.5	1.1478	0.1895	0.1117	0.3013	20.79
ssdlite_mnv3	FAILED								
yolo11n-seg	1x3x640x640	1x116x8400;1x32x160x160	4915200	7174400	1066.9	0.9352	0.1900	0.2748	0.4648	33.20
yolo11s-seg	1x3x640x640	1x116x8400;1x32x160x160	4915200	7174400	763.3	1.3073	0.1897	0.2747	0.4644	26.21
segformer_b0	1x3x512x512	1x19x128x128	3145728	1245184	848.4	1.1763	0.1293	0.0549	0.1842	13.54
segformer_b2	1x3x512x512	1x19x128x128	3145728	1245184	278.0	3.5910	0.1336	0.0568	0.1904	5.04
segformer_b5	1x3x512x512	1x19x128x128	3145728	1245184	124.4	8.0180	0.1335	0.0562	0.1896	2.31
unet_r34	1x3x640x640	1x19x640x640	4915200	31129600	549.1	1.8183	0.1897	1.1576	1.3473	42.56
deeplabv3_mnv3	1x3x640x640	1x21x640x640	4915200	34406400	749.5	1.1197	0.2053	1.3051	1.5104	57.43
maskrcnn_r50	FAILED								
dinov2_l	1x3x518x518	1x1370x1024	3219888	5611520	72.9	13.6546	0.1298	0.2154	0.3452	2.47
depth_anything_v2_l	1x3x518x518	1x518x518	3219888	1073296	57.6	17.2725	0.1351	0.0458	0.1809	1.04
yolo11n	1x3x640x640	1x84x8400	4915200	2822400	1239.2	0.8049	0.1904	0.1128	0.3032	27.36
sam_vit_b_enc	1x3x1024x1024	1x256x64x64	12582912	4194304	53.0	18.7476	0.4860	0.1658	0.6518	3.36
sam_vit_h_enc	1x3x1024x1024	1x256x64x64	12582912	4194304	11.8	82.6437	0.4896	0.1655	0.6551	0.79
