instances	graphs	streams	fps	lat_p50_ms	lat_p95_ms
1	false	4	802.12	4.297	6.367
1	false	4	810.38	4.29	6.358
1	false	4	811.25	4.288	6.353
1	true	4	920.25	4.24	4.463
1	true	4	920.62	4.25	4.349
1	true	4	917.62	4.251	4.348
2	false	4	1056.38	4.038	4.545
2	false	4	1060.25	4.041	4.541
2	false	4	1055.62	4.042	4.558
2	true	4	1088.12	4.007	4.354
2	true	4	1089.25	3.922	4.373
2	true	4	1089.12	3.99	4.353
4	false	4	1078.75	3.759	4.595
4	false	4	1081.62	3.706	4.592
4	false	4	1080.88	3.714	4.598
4	true	4	SERVER_FAILED		
